year,sex,ethnicity,population,,,,
2015,female,other_noncitizen,1214.9,,,,
2015,male,overall,16112.1,,,,
2015,male,bumi_malay,7826.8,,,,
2015,male,bumi_other,1841.9,,,,
2015,male,chinese,3401.6,,,,
2015,male,indian,990.8,,,,
2015,male,other_citizen,139.7,,,,
2015,male,other_noncitizen,1911.3,,,,
2016,both,overall,31633.5,,,,31633.5
2016,both,bumi_malay,15796.5,,,,
2016,both,bumi_other,3688.8,,,,
2016,both,chinese,6645.7,,,,
2016,both,indian,1991.6,,,,
2016,both,other_citizen,280.9,,,,
2016,both,other_noncitizen,3230,,,,
2016,female,overall,15287.2,,,,
2016,female,bumi_malay,7844,,,,
2016,female,bumi_other,1818.5,,,,
2016,female,chinese,3232.3,,,,
2016,female,indian,1000,,,,
2016,female,other_citizen,136.7,,,,
2016,female,other_noncitizen,1255.7,,,,
2016,male,overall,16346.3,,,,
2016,male,bumi_malay,7952.3,,,,
2016,male,bumi_other,1870.4,,,,
2016,male,chinese,3413.5,,,,
2016,male,indian,991.5,,,,
2016,male,other_citizen,144.2,,,,
2016,male,other_noncitizen,1974.4,,,,
2017,both,overall,32022.5,,,,32022.5
2017,both,bumi_malay,16045,,,,
2017,both,bumi_other,3735.9,,,,
2017,both,chinese,6665.3,,,,
2017,both,indian,2001.1,,,,
2017,both,other_citizen,287.7,,,,
2017,both,other_noncitizen,3287.5,,,,
2017,female,overall,15479.8,,,,
2017,female,bumi_malay,7969.4,,,,
2017,female,bumi_other,1842,,,,
2017,female,chinese,3243.9,,,,
2017,female,indian,1006,,,,
2017,female,other_citizen,140.2,,,,
2017,female,other_noncitizen,1278.3,,,,
2017,male,overall,16542.7,,,,
2017,male,bumi_malay,8075.7,,,,
2017,male,bumi_other,1893.8,,,,
2017,male,chinese,3421.2,,,,
2017,male,indian,995.1,,,,
2017,male,other_citizen,147.6,,,,
2017,male,other_noncitizen,2009.3,,,,
2018,both,overall,32382.2,,,,32382.2
2018,both,bumi_malay,16292,,,,
2018,both,bumi_other,3783.2,,,,
2018,both,chinese,6682.3,,,,
2018,both,indian,2008.3,,,,
2018,both,other_citizen,293.7,,,,
2018,both,other_noncitizen,3322.7,,,,
2018,female,overall,15660.8,,,,
2018,female,bumi_malay,8093.5,,,,
2018,female,bumi_other,1865.7,,,,
2018,female,chinese,3254.8,,,,
2018,female,indian,1010.9,,,,
2018,female,other_citizen,143.2,,,,
2018,female,other_noncitizen,1292.7,,,,
2018,male,overall,16721.4,,,,
2018,male,bumi_malay,8198.5,,,,
2018,male,bumi_other,1917.5,,,,
2018,male,chinese,3427.3,,,,
2018,male,indian,997.5,,,,
2018,male,other_citizen,150.6,,,,
2018,male,other_noncitizen,2030,,,,
2019,both,overall,32523.1,,,,32523.1
